,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Rank,Value,age,age_group,wealth_segment_binary,RFM_segments_predicted,RFM_score,customer_title,customer_title_description,customer_rank
35,Farlie,Petford,Male,76,1968-03-25,Recruiting Manager,Financial Services,High Net Worth,N,No,13,2330 Butternut Trail,2017,NSW,Australia,10,36,1.44765625,55,51-70,1,Silver,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
36,Mitchell,MacCague,Male,58,1979-04-11,Associate Professor,Manufacturing,Mass Customer,N,No,15,240 Acker Avenue,3190,VIC,Australia,8,38,1.4375,43,31-50,2,Platinum,11,Very Loyal,"Most recent, buys often, spends large amount of money",2
37,Garik,Whitwell,Male,44,1955-06-13,Associate Professor,Property,Mass Customer,N,Yes,13,04 Dexter Way,3280,VIC,Australia,2,38,1.4375,67,51-70,2,Bronze,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
38,Antonin,Britt,Male,64,1993-08-28,Associate Professor,Manufacturing,Affluent Customer,N,Yes,8,011 Northland Trail,2160,NSW,Australia,9,40,1.434375,29,20-30,0,Platinum,7,Late bloomer,"No purchases recently, but RFM value is larger than average",6
39,Vinny,Incogna,Female,73,1953-02-13,Associate Professor,Health,High Net Worth,N,No,10,8 Grayhawk Circle,2756,NSW,Australia,8,40,1.434375,70,51-70,1,Silver,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
40,Colene,Fishleigh,Female,24,1985-03-14,Design Engineer,Financial Services,Mass Customer,N,No,3,44 Darwin Lane,3149,VIC,Australia,10,42,1.421875,38,31-50,2,Gold,10,Becoming Loyal,"Relatively recent, bought more than once, spends large amount of money",3
41,Neile,Argent,Female,79,1946-10-25,Associate Professor,Retail,Mass Customer,N,No,8,2548 Arrowood Pass,2024,NSW,Australia,10,42,1.421875,76,71-92,2,Silver,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
42,Corinna,Suggey,Female,52,1966-09-18,Design Engineer,Financial Services,Affluent Customer,N,No,9,938 Ilene Road,2761,NSW,Australia,8,44,1.42109375,56,51-70,0,Platinum,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
43,Brooke,Arling,Male,76,1961-12-05,Associate Professor,Financial Services,High Net Worth,N,No,6,6 Melby Center,3027,VIC,Australia,5,44,1.42109375,61,51-70,1,Bronze,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
44,Gipsy,Ewestace,Female,29,1956-08-30,Business Systems Development Analyst,Retail,High Net Worth,N,Yes,5,08708 Moulton Park,2034,NSW,Australia,12,46,1.4078125,66,51-70,1,Silver,8,Potential Customer,"Bought recently, never bought before, spent small amount",5
45,Sheena,Kybbye,Female,14,1956-07-16,Paralegal,Financial Services,Affluent Customer,N,Yes,19,306 Clemons Junction,4852,QLD,Australia,1,46,1.4078125,66,51-70,0,Platinum,4,Almost Lost Customer,"Very low recency, low frequency, but high amount spent",9
46,Jobina,Gobourn,Female,85,1994-12-04,VP Quality Control,Financial Services,High Net Worth,N,Yes,14,18 Grim Road,4305,QLD,Australia,4,46,1.4078125,28,20-30,1,Silver,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
47,Gale,Disbrow,Female,59,1977-05-14,Cost Accountant,Financial Services,Mass Customer,N,Yes,17,169 Bashford Drive,3741,VIC,Australia,7,46,1.4078125,45,31-50,2,Silver,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
48,Thaxter,Kingsbury,Male,12,1950-05-03,Product Engineer,Argiculture,Mass Customer,N,No,20,3 Vermont Lane,2067,NSW,Australia,12,50,1.40625,72,71-92,2,Silver,7,Late bloomer,"No purchases recently, but RFM value is larger than average",6
49,Heinrick,Shilstone,Male,60,1978-02-11,Associate Professor,Manufacturing,Affluent Customer,N,No,10,998 Gale Park,3174,VIC,Australia,8,50,1.40625,45,31-50,0,Silver,11,Very Loyal,"Most recent, buys often, spends large amount of money",2
50,Taylor,Steuhlmeyer,Male,62,1999-03-22,Paralegal,Financial Services,Affluent Customer,N,Yes,5,64 Mcguire Trail,4017,QLD,Australia,8,52,1.39453125,24,20-30,0,Gold,4,Almost Lost Customer,"Very low recency, low frequency, but high amount spent",9
51,Griswold,Kelsall,Male,55,1993-12-19,Social Worker,Health,High Net Worth,N,Yes,11,74127 Blaine Point,3805,VIC,Australia,7,52,1.39453125,29,20-30,1,Gold,12,Platinum Customer,"Most recent buy, buys often, most spent",1
52,Odessa,Mc Andrew,Female,97,1981-12-01,Associate Professor,Property,Mass Customer,N,No,8,31756 Meadow Valley Lane,2232,NSW,Australia,10,54,1.38125,41,31-50,2,Silver,9,Recent Customer,"Bought recently, not very often, average money spent",4
53,Lavena,Seekings,Female,87,1995-03-25,Payment Adjustment Coordinator,Retail,Mass Customer,N,No,16,293 Mayfield Street,3166,VIC,Australia,10,54,1.38125,28,20-30,2,Gold,8,Potential Customer,"Bought recently, never bought before, spent small amount",5
54,Martelle,Tuppeny,Female,52,1981-02-03,Marketing Assistant,Manufacturing,Mass Customer,N,No,9,261 Grayhawk Way,2226,NSW,Australia,10,54,1.38125,42,31-50,2,Silver,10,Becoming Loyal,"Relatively recent, bought more than once, spends large amount of money",3
55,Briant,Ladley,Male,75,1979-12-17,Recruiter,Argiculture,Mass Customer,N,No,12,2 Schlimgen Terrace,2750,NSW,Australia,8,57,1.375,43,31-50,2,Gold,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
56,Marylou,Kirkup,Female,51,1972-10-31,VP Product Management,Financial Services,Mass Customer,N,No,14,76733 Sunbrook Terrace,3196,VIC,Australia,9,57,1.375,50,31-50,2,Silver,7,Late bloomer,"No purchases recently, but RFM value is larger than average",6
57,Lorrie,Antonelli,Male,47,1983-02-11,Cost Accountant,Financial Services,High Net Worth,N,Yes,17,06936 Bobwhite Circle,2257,NSW,Australia,7,57,1.375,40,31-50,1,Bronze,3,Evasive Customer,"Very low recency, Very low frequency, small amount spent",10
58,Jedediah,Kedie,Male,31,1971-12-29,Developer I,Argiculture,Mass Customer,N,Yes,9,283 Acker Drive,2763,NSW,Australia,9,62,1.36796875,51,51-70,2,Bronze,8,Potential Customer,"Bought recently, never bought before, spent small amount",5
59,Kaine,Smallcombe,Male,59,1942-02-06,Senior Financial Analyst,Financial Services,High Net Worth,N,No,11,9 Mosinee Parkway,2072,NSW,Australia,10,62,1.36796875,81,71-92,1,Gold,10,Becoming Loyal,"Relatively recent, bought more than once, spends large amount of money",3
60,Loise,Iltchev,Female,70,1967-03-18,Electrical Engineer,Manufacturing,High Net Worth,N,Yes,17,45 Becker Place,4504,QLD,Australia,6,62,1.36796875,56,51-70,1,Gold,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
61,Cristen,Maroney,Female,22,1999-11-21,Accountant IV,IT,High Net Worth,N,Yes,7,27 Karstens Crossing,4214,QLD,Australia,7,65,1.3625,23,20-30,1,Bronze,12,Platinum Customer,"Most recent buy, buys often, most spent",1
62,Dorothy,Barnardo,Female,58,1983-02-01,Human Resources Manager,Retail,High Net Worth,N,No,12,9630 Cottonwood Avenue,2168,NSW,Australia,8,65,1.3625,40,31-50,1,Platinum,12,Platinum Customer,"Most recent buy, buys often, most spent",1
63,Rosmunda,Duxbarry,Female,69,1996-07-20,Executive Secretary,Property,Affluent Customer,N,Yes,5,989 Graedel Terrace,4208,QLD,Australia,11,65,1.3625,26,20-30,0,Bronze,7,Late bloomer,"No purchases recently, but RFM value is larger than average",6
64,Rozamond,Riha,Female,54,1984-10-07,Account Representative I,Manufacturing,Affluent Customer,N,Yes,16,76 Bartelt Center,4078,QLD,Australia,7,68,1.3546875,38,31-50,0,Silver,10,Becoming Loyal,"Relatively recent, bought more than once, spends large amount of money",3
65,Gunner,Petti,Male,62,1999-06-08,Executive Secretary,Financial Services,High Net Worth,N,Yes,3,29778 Mendota Drive,4036,QLD,Australia,5,68,1.3546875,23,20-30,1,Silver,10,Becoming Loyal,"Relatively recent, bought more than once, spends large amount of money",3
66,Vivienne,Crayden,Female,82,1988-09-18,Associate Professor,Financial Services,High Net Worth,N,Yes,6,69 Algoma Center,4173,QLD,Australia,7,68,1.3546875,34,31-50,1,Platinum,10,Becoming Loyal,"Relatively recent, bought more than once, spends large amount of money",3
67,Sherilyn,Canero,Female,11,1996-08-03,Dental Hygienist,Health,High Net Worth,N,Yes,13,8288 Lyons Way,2484,NSW,Australia,7,68,1.3546875,26,20-30,1,Silver,10,Becoming Loyal,"Relatively recent, bought more than once, spends large amount of money",3
68,Bessie,Roscow,Female,78,1994-08-04,GIS Technical Architect,Financial Services,Mass Customer,N,No,9,4185 Florence Trail,2121,NSW,Australia,10,72,1.35,28,20-30,2,Platinum,4,Almost Lost Customer,"Very low recency, low frequency, but high amount spent",9
69,Kevina,Ferandez,Female,73,1999-09-21,Assistant Professor,Financial Services,High Net Worth,N,No,15,9608 Heffernan Drive,4068,QLD,Australia,9,72,1.35,23,20-30,1,Bronze,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
70,Yancy,Clementet,Male,5,1968-02-16,Mechanical Systems Engineer,Financial Services,High Net Worth,N,No,15,9 Union Center,2147,NSW,Australia,9,72,1.35,55,51-70,1,Silver,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
71,Mabelle,Wellbelove,Female,76,1958-04-21,Associate Professor,Financial Services,Affluent Customer,N,Yes,19,800 Emmet Park,2219,NSW,Australia,9,72,1.35,64,51-70,0,Gold,7,Late bloomer,"No purchases recently, but RFM value is larger than average",6
72,Hasheem,Groucock,Male,98,1974-09-17,Budget/Accounting Analyst IV,Manufacturing,High Net Worth,N,Yes,10,12351 Spenser Pass,2034,NSW,Australia,12,72,1.35,48,31-50,1,Silver,8,Potential Customer,"Bought recently, never bought before, spent small amount",5
73,Tobias,Woodhams,Male,0,1961-04-15,Research Nurse,Health,Mass Customer,N,No,17,4 Valley Edge Plaza,2759,NSW,Australia,9,77,1.34140625,61,51-70,2,Bronze,11,Very Loyal,"Most recent, buys often, spends large amount of money",2
74,Glennis,Flintoff,Female,36,1956-10-22,Speech Pathologist,Health,Affluent Customer,N,Yes,13,1601 Rutledge Lane,3030,VIC,Australia,7,78,1.3375,66,51-70,0,Silver,7,Late bloomer,"No purchases recently, but RFM value is larger than average",6
75,Chanda,Mensler,Female,15,1972-01-14,Computer Systems Analyst IV,Manufacturing,Mass Customer,N,Yes,13,0 Mockingbird Plaza,2212,NSW,Australia,10,78,1.3375,51,51-70,2,Gold,11,Very Loyal,"Most recent, buys often, spends large amount of money",2
76,Katheryn,Kinner,Female,15,1973-11-28,Analyst Programmer,Entertainment,High Net Worth,N,No,6,1665 Kenwood Center,2518,NSW,Australia,6,78,1.3375,49,31-50,1,Gold,9,Recent Customer,"Bought recently, not very often, average money spent",4
77,Sumner,Carrivick,Male,53,1995-04-09,Desktop Support Technician,Manufacturing,Mass Customer,N,No,15,5 4th Center,2097,NSW,Australia,12,78,1.3375,27,20-30,2,Platinum,12,Platinum Customer,"Most recent buy, buys often, most spent",1
78,Valerie,Pickover,Female,34,1965-09-08,Editor,Financial Services,Mass Customer,N,No,9,92214 Spenser Road,2756,NSW,Australia,8,78,1.3375,57,51-70,2,Bronze,8,Potential Customer,"Bought recently, never bought before, spent small amount",5
79,Esther,Rooson,Female,14,1981-02-22,Associate Professor,Financial Services,Mass Customer,N,No,5,5186 Main Trail,2046,NSW,Australia,9,78,1.3375,42,31-50,2,Silver,9,Recent Customer,"Bought recently, not very often, average money spent",4
80,Gardie,Crellim,Male,58,1975-09-12,Biostatistician IV,Manufacturing,High Net Worth,N,No,8,564 Forest Dale Avenue,3161,VIC,Australia,12,84,1.328125,47,31-50,1,Silver,12,Platinum Customer,"Most recent buy, buys often, most spent",1
81,Sean,O'Loughlin,Male,48,1961-03-22,Database Administrator III,Manufacturing,High Net Worth,N,Yes,16,83 Old Gate Point,2576,NSW,Australia,10,85,1.325,62,51-70,1,Gold,9,Recent Customer,"Bought recently, not very often, average money spent",4
82,Pietra,Buckleigh,Female,9,1949-04-29,Engineer III,Financial Services,High Net Worth,N,No,13,387 Dixon Alley,2024,NSW,Australia,10,85,1.325,73,71-92,1,Gold,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
83,Marysa,Rouchy,Female,8,1999-02-15,Assistant Media Planner,Entertainment,Affluent Customer,N,No,5,411 Twin Pines Way,2026,NSW,Australia,9,85,1.325,24,20-30,0,Silver,9,Recent Customer,"Bought recently, not very often, average money spent",4
84,Ossie,Midden,Male,49,1950-02-10,Physical Therapy Assistant,Manufacturing,Mass Customer,N,Yes,14,4915 Debra Center,2479,NSW,Australia,9,89,1.3125,73,71-92,2,Silver,10,Becoming Loyal,"Relatively recent, bought more than once, spends large amount of money",3
85,Sid,Carlone,Male,24,1971-08-18,Structural Engineer,Health,Affluent Customer,N,No,16,76 Sunnyside Avenue,4670,QLD,Australia,2,89,1.3125,51,51-70,0,Platinum,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
86,Ludovico,Juster,Male,93,1992-04-19,Environmental Specialist,Financial Services,Affluent Customer,N,No,15,1 Talisman Avenue,2125,NSW,Australia,10,89,1.3125,30,20-30,0,Silver,12,Platinum Customer,"Most recent buy, buys often, most spent",1
87,Patricia,Everix,Female,34,1978-02-19,Director of Sales,Health,Mass Customer,N,No,19,91164 Washington Terrace,2263,NSW,Australia,7,89,1.3125,45,31-50,2,Gold,9,Recent Customer,"Bought recently, not very often, average money spent",4
88,Andromache,Bonafacino,Female,84,1977-09-01,Associate Professor,Retail,Mass Customer,N,No,11,74 Carpenter Street,2015,NSW,Australia,9,89,1.3125,45,31-50,2,Platinum,8,Potential Customer,"Bought recently, never bought before, spent small amount",5
89,Levy,Abramamov,Male,94,1952-09-21,Teacher,Financial Services,Affluent Customer,N,Yes,14,6776 Anderson Center,4037,QLD,Australia,8,89,1.3125,70,51-70,0,Silver,7,Late bloomer,"No purchases recently, but RFM value is larger than average",6
90,Nobe,McAughtry,Male,25,1978-12-14,Associate Professor,Financial Services,Mass Customer,N,No,12,1 Orin Hill,4510,QLD,Australia,5,89,1.3125,44,31-50,2,Bronze,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
91,Jehu,Prestedge,Male,91,1999-10-20,Associate Professor,Manufacturing,High Net Worth,N,Yes,8,88 Annamark Avenue,2138,NSW,Australia,12,96,1.3,23,20-30,1,Bronze,7,Late bloomer,"No purchases recently, but RFM value is larger than average",6
92,Symon,Mawne,Male,18,1943-02-08,Human Resources Assistant IV,Property,Mass Customer,N,Yes,15,37439 High Crossing Circle,3350,VIC,Australia,4,96,1.3,80,71-92,2,Silver,10,Becoming Loyal,"Relatively recent, bought more than once, spends large amount of money",3
93,Karlik,Penchen,Male,60,1994-10-31,Nurse Practicioner,Retail,Mass Customer,N,No,11,5 Nevada Point,4017,QLD,Australia,6,96,1.3,28,20-30,2,Bronze,12,Platinum Customer,"Most recent buy, buys often, most spent",1
94,Bengt,Bilson,Male,26,1972-11-02,Structural Engineer,Manufacturing,High Net Worth,N,No,11,67 Grayhawk Circle,2232,NSW,Australia,10,99,1.296875,50,31-50,1,Bronze,7,Late bloomer,"No purchases recently, but RFM value is larger than average",6
95,Evangelin,Boc,Female,30,2000-05-09,Structural Analysis Engineer,Manufacturing,High Net Worth,N,Yes,14,0 Meadow Ridge Street,3173,VIC,Australia,8,99,1.296875,22,20-30,1,Silver,9,Recent Customer,"Bought recently, not very often, average money spent",4
96,Hanny,Treven,Female,84,1991-01-22,Associate Professor,Retail,Mass Customer,N,No,3,5 Quincy Street,4118,QLD,Australia,4,99,1.296875,32,31-50,2,Gold,8,Potential Customer,"Bought recently, never bought before, spent small amount",5
97,Gina,Mallon,Female,56,1994-02-11,Dental Hygienist,Health,Mass Customer,N,No,12,13025 Johnson Plaza,4670,QLD,Australia,2,102,1.28828125,29,20-30,2,Gold,8,Potential Customer,"Bought recently, never bought before, spent small amount",5
98,Reynold,Elman,Male,19,1940-01-18,Marketing Manager,Manufacturing,Mass Customer,N,No,9,966 Sunnyside Center,2390,NSW,Australia,2,102,1.28828125,83,71-92,2,Silver,10,Becoming Loyal,"Relatively recent, bought more than once, spends large amount of money",3
99,Flossy,Concannon,Female,64,1980-10-20,Staff Accountant IV,Financial Services,Affluent Customer,N,No,8,802 Mallory Park,3919,VIC,Australia,2,104,1.2875,42,31-50,0,Platinum,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
100,Cristen,Wiltshire,Female,59,1961-10-20,VP Sales,Financial Services,High Net Worth,N,Yes,15,93 Judy Drive,3047,VIC,Australia,6,104,1.2875,61,51-70,1,Bronze,11,Very Loyal,"Most recent, buys often, spends large amount of money",2
101,Griffith,Escot,Male,50,1946-10-23,Accountant III,IT,Mass Customer,N,Yes,16,94 Manitowish Court,4116,QLD,Australia,3,104,1.2875,76,71-92,2,Silver,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
102,Jamie,Jiruca,Female,21,1963-06-16,Recruiting Manager,Argiculture,Mass Customer,N,No,18,5013 Erie Crossing,2230,NSW,Australia,9,104,1.2875,59,51-70,2,Bronze,6,Losing Customer,"Purchases was a while ago, below average RFM value",7
103,Lyon,Brittan,Male,14,1972-04-23,Sales Representative,Retail,High Net Worth,N,No,19,540 Sachs Road,3153,VIC,Australia,8,104,1.2875,50,31-50,1,Gold,3,Evasive Customer,"Very low recency, Very low frequency, small amount spent",10
104,Aridatha,Sephton,Female,95,1961-10-22,Human Resources Assistant II,Financial Services,Mass Customer,N,No,5,422 Forster Circle,2340,NSW,Australia,1,104,1.2875,61,51-70,2,Gold,5,High Risk Customer,"Purchase was long time ago, frequency is quite high, amount spent is high",8
105,Michal,Bryan,Female,1,1969-11-09,Associate Professor,Manufacturing,Mass Customer,N,Yes,16,4275 Bluestem Pass,4000,QLD,Australia,8,104,1.2875,53,51-70,2,Silver,12,Platinum Customer,"Most recent buy, buys often, most spent",1
106,Franciska,Stigell,Female,95,1968-11-15,Food Chemist,Health,Mass Customer,N,Yes,7,6 Anderson Junction,3802,VIC,Australia,7,111,1.28125,54,51-70,2,Bronze,3,Evasive Customer,"Very low recency, Very low frequency, small amount spent",10
107,Jordan,Clampe,Male,37,1939-12-09,Staff Scientist,Financial Services,Mass Customer,N,Yes,11,276 Westend Road,4207,QLD,Australia,5,111,1.28125,83,71-92,2,Silver,10,Becoming Loyal,"Relatively recent, bought more than once, spends large amount of money",3
108,David,Napoleon,Male,72,1961-11-05,Structural Engineer,Financial Services,High Net Worth,N,No,14,69 Garrison Point,2223,NSW,Australia,11,111,1.28125,61,51-70,1,Platinum,11,Very Loyal,"Most recent, buys often, spends large amount of money",2
